,Image,Accuracy,F1,Jaccard,Recall,Precision
854,new_data\test\image\volume-90_slice_344_0,0.9923896789550781,0.9957208526143753,0.9914781713893706,0.999074465225239,0.9923896789550781
855,new_data\test\image\volume-90_slice_354_0,0.9928627014160156,0.9957990748782382,0.9916332976465793,0.9987528684026739,0.9928627014160156
856,new_data\test\image\volume-90_slice_35_0,0.9856758117675781,0.9894256377069928,0.9790725696444269,0.9932041036758573,0.9856758117675781
857,new_data\test\image\volume-90_slice_361_0,0.9929389953613281,0.9957174962941712,0.9914715158533055,0.9985115907948796,0.9929389953613281
858,new_data\test\image\volume-90_slice_370_0,0.9918136596679688,0.995099099237021,0.9902460018510125,0.9984063775617961,0.9918136596679688
859,new_data\test\image\volume-90_slice_377_0,0.9932518005371094,0.9957416865368841,0.9915194857617231,0.998244087212891,0.9932518005371094
860,new_data\test\image\volume-90_slice_384_0,0.9960556030273438,0.9967362052182543,0.9934936458412602,0.9974177381525368,0.9960556030273438
861,new_data\test\image\volume-90_slice_386_0,0.9959640502929688,0.996368840337738,0.992763955906901,0.9967739595542338,0.9959640502929688
862,new_data\test\image\volume-90_slice_390_0,0.997344970703125,0.997344970703125,0.9947040024349414,0.997344970703125,0.997344970703125
863,new_data\test\image\volume-90_slice_397_0,0.9955673217773438,0.9955939070028268,0.9912264709903833,0.9956204936481898,0.9955673217773438
864,new_data\test\image\volume-90_slice_415_0,0.9846725463867188,0.9873013930218859,0.9749212512180567,0.9899443140503474,0.9846725463867188
865,new_data\test\image\volume-90_slice_429_0,0.97857666015625,0.9838535234603317,0.968220179054003,0.989187605077661,0.97857666015625
866,new_data\test\image\volume-90_slice_441_0,0.9784088134765625,0.9850921108979491,0.9706221830332984,0.9918673405855669,0.9784088134765625
867,new_data\test\image\volume-90_slice_457_0,0.987396240234375,0.9923743142058591,0.9848640504075064,0.9974028376118437,0.987396240234375
868,new_data\test\image\volume-90_slice_465_0,0.9911422729492188,0.9948557523868964,0.9897641604668792,0.9985971628098252,0.9911422729492188
869,new_data\test\image\volume-90_slice_471_0,0.9927024841308594,0.9958250740465786,0.9916848631736995,0.9989673704414588,0.9927024841308594
870,new_data\test\image\volume-90_slice_480_0,0.9945564270019531,0.9945564270019531,0.9891717981113248,0.9945564270019531,0.9945564270019531
871,new_data\test\image\volume-90_slice_484_0,1.0,1.0,1.0,1.0,1.0
872,new_data\test\image\volume-90_slice_512_0,1.0,1.0,1.0,1.0,1.0
873,new_data\test\image\volume-90_slice_529_0,1.0,1.0,1.0,1.0,1.0
874,new_data\test\image\volume-90_slice_546_0,1.0,1.0,1.0,1.0,1.0
875,new_data\test\image\volume-90_slice_552_0,1.0,1.0,1.0,1.0,1.0
876,new_data\test\image\volume-90_slice_559_0,1.0,1.0,1.0,1.0,1.0
877,new_data\test\image\volume-90_slice_569_0,1.0,1.0,1.0,1.0,1.0
878,new_data\test\image\volume-90_slice_571_0,1.0,1.0,1.0,1.0,1.0
879,new_data\test\image\volume-90_slice_574_0,1.0,1.0,1.0,1.0,1.0
880,new_data\test\image\volume-90_slice_584_0,1.0,1.0,1.0,1.0,1.0
881,new_data\test\image\volume-90_slice_602_0,1.0,1.0,1.0,1.0,1.0
882,new_data\test\image\volume-90_slice_608_0,1.0,1.0,1.0,1.0,1.0
883,new_data\test\image\volume-90_slice_613_0,1.0,1.0,1.0,1.0,1.0
884,new_data\test\image\volume-90_slice_625_0,1.0,1.0,1.0,1.0,1.0
885,new_data\test\image\volume-90_slice_629_0,1.0,1.0,1.0,1.0,1.0
886,new_data\test\image\volume-90_slice_642_0,1.0,1.0,1.0,1.0,1.0
887,new_data\test\image\volume-90_slice_649_0,1.0,1.0,1.0,1.0,1.0
888,new_data\test\image\volume-90_slice_64_0,1.0,1.0,1.0,1.0,1.0
889,new_data\test\image\volume-90_slice_652_0,1.0,1.0,1.0,1.0,1.0
890,new_data\test\image\volume-90_slice_677_0,1.0,1.0,1.0,1.0,1.0
891,new_data\test\image\volume-90_slice_679_0,1.0,1.0,1.0,1.0,1.0
892,new_data\test\image\volume-90_slice_685_0,1.0,1.0,1.0,1.0,1.0
893,new_data\test\image\volume-90_slice_708_0,1.0,1.0,1.0,1.0,1.0
894,new_data\test\image\volume-90_slice_714_0,1.0,1.0,1.0,1.0,1.0
895,new_data\test\image\volume-90_slice_720_0,1.0,1.0,1.0,1.0,1.0
896,new_data\test\image\volume-90_slice_731_0,1.0,1.0,1.0,1.0,1.0
897,new_data\test\image\volume-90_slice_734_0,1.0,1.0,1.0,1.0,1.0
898,new_data\test\image\volume-90_slice_747_0,1.0,1.0,1.0,1.0,1.0
899,new_data\test\image\volume-90_slice_86_0,1.0,1.0,1.0,1.0,1.0
900,new_data\test\image\volume-90_slice_89_0,1.0,1.0,1.0,1.0,1.0
901,new_data\test\image\volume-90_slice_8_0,1.0,1.0,1.0,1.0,1.0
902,new_data\test\image\volume-90_slice_97_0,1.0,1.0,1.0,1.0,1.0
