,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
853,volume-90_slice_338_0,0.9735679626464844,0.9735679626464844,0.9484972479587324,0.9735679626464844,0.9735679626464844,"[[0. 0.]
 [1. 1.]]"
854,volume-90_slice_344_0,0.9904251098632812,0.9937496890154516,0.9875770254849753,0.9970966626982602,0.9904251098632812,"[[0.99391691 0.00281884]
 [0.00608309 0.99718116]]"
855,volume-90_slice_354_0,0.990692138671875,0.9936220927340829,0.9873250252815182,0.9965694287753551,0.990692138671875,"[[0.99493227 0.00336347]
 [0.00506773 0.99663653]]"
856,volume-90_slice_35_0,0.9616775512695312,0.9653360801530152,0.9329948224112982,0.9690225517668177,0.9616775512695312,"[[0.94017094 0.03089939]
 [0.05982906 0.96910061]]"
857,volume-90_slice_361_0,0.99066162109375,0.9934337493425144,0.9869531674577868,0.9962214353942175,0.99066162109375,"[[0.99361393 0.00363304]
 [0.00638607 0.99636696]]"
858,volume-90_slice_370_0,0.9895744323730469,0.9928524543733985,0.9858063584474018,0.9961522658239028,0.9895744323730469,"[[0.99814482 0.00399382]
 [0.00185518 0.99600618]]"
859,volume-90_slice_377_0,0.9918479919433594,0.9943343588723786,0.9887325550443017,0.996833222790061,0.9918479919433594,"[[0.99635985 0.003125  ]
 [0.00364015 0.996875  ]]"
860,volume-90_slice_384_0,0.9919700622558594,0.9926478728074362,0.9854030641439079,0.9933266102847363,0.9919700622558594,"[[0.98835922 0.00616288]
 [0.01164078 0.99383712]]"
861,volume-90_slice_386_0,0.9901809692382812,0.9905834088632351,0.981342507703068,0.9909861757485751,0.9901809692382812,"[[0.9661614  0.00636345]
 [0.0338386  0.99363655]]"
862,volume-90_slice_390_0,0.9944076538085938,0.9944076538085938,0.9888775084404993,0.9944076538085938,0.9944076538085938,"[[0.97975283 0.00393592]
 [0.02024717 0.99606408]]"
863,volume-90_slice_397_0,0.9925308227539062,0.9925573268939524,0.9852246220956651,0.992583832449548,0.9925308227539062,"[[0.96671621 0.00420674]
 [0.03328379 0.99579326]]"
864,volume-90_slice_415_0,0.9898414611816406,0.9924841076168692,0.9850803497196396,0.9951409023271511,0.9898414611816406,"[[0.98397142 0.00325447]
 [0.01602858 0.99674553]]"
865,volume-90_slice_429_0,0.9844322204589844,0.9897406592057929,0.9796896888156621,0.9951066586460598,0.9844322204589844,"[[0.98638384 0.00367742]
 [0.01361616 0.99632258]]"
866,volume-90_slice_441_0,0.9807357788085938,0.9874349712231459,0.9751817840439696,0.9942263145479084,0.9807357788085938,"[[0.98622998 0.00476458]
 [0.01377002 0.99523542]]"
867,volume-90_slice_457_0,0.9861526489257812,0.9911244531858038,0.9824050709877482,0.9961466433410143,0.9861526489257812,"[[0.98746258 0.00300681]
 [0.01253742 0.99699319]]"
868,volume-90_slice_465_0,0.9895744323730469,0.9932820376351393,0.9866537349764187,0.9970175296997928,0.9895744323730469,"[[0.98297846 0.00206742]
 [0.01702154 0.99793258]]"
869,volume-90_slice_471_0,0.9911613464355469,0.994279088633946,0.9886232625743387,0.9974165067178503,0.9911613464355469,"[[0.96994587 0.0014052 ]
 [0.03005413 0.9985948 ]]"
870,volume-90_slice_480_0,0.9964523315429688,0.9964523315429688,0.9929297460030257,0.9964523315429688,0.9964523315429688,"[[0.         0.00354767]
 [0.         0.99645233]]"
871,volume-90_slice_484_0,0.9998703002929688,0.9998703002929688,0.9997406342256024,0.9998703002929688,0.9998703002929688,"[[0. 0.]
 [1. 1.]]"
872,volume-90_slice_512_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
873,volume-90_slice_529_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
